SIHD_INV_DATE,QTY
2019-04-01,336
2019-04-02,0
2019-04-03,756
2019-04-04,84
2019-04-05,168
2019-04-06,0
2019-04-07,42
2019-04-08,378
2019-04-09,420
2019-04-10,588
2019-04-11,252
2019-04-12,210
2019-04-13,0
2019-04-14,420
2019-04-15,420
2019-04-16,420
2019-04-17,462
2019-04-18,0
2019-04-19,378
2019-04-20,0
2019-04-21,420
2019-04-22,672
2019-04-23,546
2019-04-24,210
2019-04-25,0
2019-04-26,546
2019-04-27,126
2019-04-28,336
2019-04-29,420
2019-04-30,420
2019-05-01,0
2019-05-02,756
2019-05-03,294
2019-05-04,0
2019-05-05,420
2019-05-06,882
2019-05-07,462
2019-05-08,378
2019-05-09,336
2019-05-10,252
2019-05-11,0
2019-05-12,210
2019-05-13,252
2019-05-14,210
2019-05-15,504
2019-05-16,546
2019-05-17,294
2019-05-18,0
2019-05-19,0
2019-05-20,252
2019-05-21,504
2019-05-22,672
2019-05-23,630
2019-05-24,252
2019-05-25,0
2019-05-26,0
2019-05-27,126
2019-05-28,210
2019-05-29,630
2019-05-30,504
2019-05-31,210
2019-06-01,0
2019-06-02,0
2019-06-03,168
2019-06-04,420
2019-06-05,336
2019-06-06,420
2019-06-07,126
2019-06-08,126
2019-06-09,0
2019-06-10,210
2019-06-11,420
2019-06-12,420
2019-06-13,924
2019-06-14,168
2019-06-15,0
2019-06-16,42
2019-06-17,210
2019-06-18,126
2019-06-19,546
2019-06-20,336
2019-06-21,420
2019-06-22,0
2019-06-23,210
2019-06-24,336
2019-06-25,84
2019-06-26,126
2019-06-27,210
2019-06-28,630
2019-06-29,0
2019-06-30,420
2019-07-01,420
2019-07-02,840
2019-07-03,420
2019-07-04,336
2019-07-05,210
2019-07-06,0
2019-07-07,168
2019-07-08,210
2019-07-09,168
2019-07-10,0
2019-07-11,0
2019-07-12,210
2019-07-13,0
2019-07-14,168
2019-07-15,84
2019-07-16,504
2019-07-17,336
2019-07-18,378
2019-07-19,294
