SIHD_INV_DATE,QTY
2019-04-30,237.6315789473684
2019-05-31,305.8125
2019-06-30,275.3333333333333
2019-07-31,274.4
2019-08-31,274.2352941176471
2019-09-30,272.0
2019-10-31,257.25
2019-11-30,254.0
2019-12-31,194.0
2020-01-31,252.0
2020-02-29,255.36
2020-03-31,207.29032258064515
2020-04-30,
2020-05-31,315.0
2020-06-30,176.0
2020-07-31,245.7
2020-08-31,204.4
2020-09-30,196.0
2020-10-31,172.54054054054055
2020-11-30,220.88888888888889
2020-12-31,241.5
2021-01-31,265.125
2021-02-28,344.4
2021-03-31,306.44444444444446
2021-04-30,316.10526315789474
2021-05-31,483.0
2021-06-30,409.2
2021-07-31,455.0
