SIHD_INV_DATE,QTY
2019-04-30,210.0
2019-05-31,252.0
2019-06-30,210.0
2019-07-31,252.0
2019-08-31,294.0
2019-09-30,252.0
2019-10-31,210.0
2019-11-30,210.0
2019-12-31,210.0
2020-01-31,210.0
2020-02-29,210.0
2020-03-31,210.0
2020-04-30,
2020-05-31,315.0
2020-06-30,210.0
2020-07-31,210.0
2020-08-31,210.0
2020-09-30,168.0
2020-10-31,126.0
2020-11-30,210.0
2020-12-31,231.0
2021-01-31,210.0
2021-02-28,336.0
2021-03-31,294.0
2021-04-30,336.0
2021-05-31,483.0
2021-06-30,378.0
2021-07-31,420.0
