,SILN_PROD_ID,SIHD_YEAR,FP_SHORT_DESC,QTY
0,FGAS-VW271-01-00099,201920,SEP,51408
1,FGAS-VW270-02-00139,202122,MAY,50388
2,FGAS-VW271-01-00099,201920,AUG,48960
3,FGAS-VW270-02-00139,202021,JAN,46542
4,FGPL-BA-05-00058,201920,JUN,42424
5,FGAS-VW416-01-00137,202122,MAY,39528
6,FGAS-VW416-01-00137,202122,JUL,39312
7,FGAS-VW270-02-00139,202021,MAR,39168
8,FGAS-VW271-01-00099,201920,OCT,38148
9,FGAS-VW271-01-00099,201920,JAN,36516
10,FGAS-VW416-01-00137,202122,JUN,36072
11,FGPL-VW270271-01-00203,202021,FEB,36000
12,FGAS-VW271-01-00099,201920,MAY,35904
13,FGAS-VW271-01-00099,201920,DEC,34884
14,FGPL-BA-05-00058,201920,MAY,34152
15,FGAS-VW416-01-00137,202122,APR,33156
16,FGAS-VW270-02-00139,202021,NOV,32884
17,FGAS-VW270-02-00139,202122,JUL,32553
18,FGAS-VW270-02-00139,202122,JUN,32273
19,FGPL-BA-05-00058,201920,JUL,29188
20,FGPL-BA-05-00058,201920,APR,28686
21,FGAS-VW271-01-00099,202021,FEB,28560
22,FGAS-VW270-02-00139,202021,AUG,28152
23,FGAS-VW271-01-00099,201920,FEB,27744
24,FGAS-VW271-01-00099,201920,JUL,27540
25,FGAS-VW270-02-00139,202021,FEB,26960
26,FGAS-VW270-02-00139,202021,DEC,26934
27,FGAS-VW416-01-00137,202021,SEP,26784
28,FGAS-VW271-01-00099,201920,NOV,24888
29,FGPL-VW270271-02-00204,202021,FEB,24000
30,FGPL-VW270271-03-00205,202021,FEB,24000
31,NSSCPM0001,201920,JUL,23982
32,FGAS-VW270-02-00139,202021,SEP,23880
33,FGAS-VW416-01-00137,202021,AUG,22572
34,NSSCPM0001,201920,APR,21974
35,FGAS-VW271-01-00099,202021,DEC,21216
36,NSSCPM0001,201920,MAY,21193
37,FGAS-VW271-01-00099,201920,JUN,20808
38,FGAS-VW326-01-00151,202021,OCT,20736
39,FGPL-BAPB-03-00019,201920,JUN,20400
40,NSSCPM0001,201920,JUN,20271
41,FGPL-BAPB-03-00019,202122,JUL,20215
42,FGPL-GS-01-00114,201920,JUN,20148
43,FGPL-HCI-01-00206,201920,MAY,19968
44,RMPMSCR0011,201920,JUL,19928
45,FGAS-VW416-01-00137,202021,JUN,19877
46,FGAS-VW416-01-00137,202021,JUL,19656
47,FGAS-VW416-01-00137,202021,DEC,19008
48,RMPMSCR0011,201920,MAY,18802
49,FGPL-VW270271-01-00203,202021,JAN,18720
50,FGPL-GS-01-00114,201920,JUL,18522
51,FGPL-BAPB-03-00019,202021,JAN,18430
52,FGAS-VW416-01-00137,202021,JAN,18360
53,FGPL-BAPB-03-00019,201920,OCT,18000
54,FGAS-VW326-01-00151,202021,SEP,17928
55,FGAS-VW326-01-00151,202021,AUG,17712
56,FGPL-IB-01-00100,201920,SEP,17536
57,NSSCPM0001,201920,AUG,16943
58,FGPL-VW270271-01-00203,201920,NOV,16800
59,FGPL-VW270271-02-00204,202021,JAN,16600
60,FGPL-VW270271-03-00205,202021,JAN,16600
61,FGPL-BAPB-03-00019,201920,MAR,16230
62,FGPL-GS-01-00114,201920,MAY,16200
63,FGPL-BA-05-00058,201920,NOV,16110
64,FGAS-VW271-01-00099,202021,SEP,15912
65,FGPL-GS-01-00114,201920,APR,15806
66,FGPL-IB-01-00100,201920,APR,15776
67,FGAS-VW271-01-00099,202021,AUG,15504
68,FGPL-BAPB-03-00019,202122,JUN,15285
69,FGAS-VW416-01-00137,202021,MAR,15120
70,FGAS-VW271-01-00099,202021,NOV,15096
71,FGAS-VW270-02-00139,202021,JUL,15096
72,FGPL-BAPB-03-00019,201920,DEC,14920
73,FGAS-VW416-01-00137,202021,FEB,14904
74,FGAS-VW270-02-00139,202021,JUN,14688
75,FGPL-IB-01-00100,201920,AUG,14628
76,FGAS-VW382-01-00165,202021,DEC,14580
77,FGPL-IB-01-00100,201920,DEC,14580
78,FGPL-BAPB-03-00019,201920,MAY,14400
79,FGPL-XBB-01-00235,201920,OCT,14208
80,FGPL-HCI-01-00206,201920,JUL,14208
81,FGPL-XBB-02-00236,201920,OCT,14208
82,RMPMSCR0011,201920,AUG,14207
83,FGPL-IB-01-00100,201920,MAY,13860
84,FGPL-HCI-01-00206,201920,APR,13834
85,FGPL-GS-01-00114,201920,SEP,13696
86,FGPL-IB-01-00100,201920,JUN,13674
87,FGAS-VW251250-02-00057,201920,MAY,13608
88,FGPL-VW270271-01-00203,201920,APR,13440
89,FGPL-VW270271-01-00203,201920,AUG,13440
90,FGPL-VW270271-01-00203,202021,DEC,13440
91,FGPL-VW270271-01-00203,201920,MAY,13440
92,FGPL-VW270271-01-00203,201920,JAN,13440
93,FGPL-VW270271-01-00203,201920,OCT,13440
94,FGPL-VW270271-01-00203,201920,JUL,13440
95,FGPL-VW270271-01-00203,201920,SEP,13440
96,FGPL-VW270271-01-00203,201920,DEC,13440
97,FGAS-VW416-01-00137,202021,OCT,13176
98,FGAS-VW271-01-00099,201920,APR,13056
99,FGAS-VW271-01-00099,202021,JUN,13056
100,FGPL-HCI-10-00215,201920,MAY,13037
101,FGPL-HCI-01-00206,201920,DEC,12960
102,FGPL-HCI-01-00206,201920,NOV,12930
103,FGPL-IB-01-00100,201920,NOV,12874
104,FGPL-HCI-12-00217,201920,MAY,12856
105,FGPL-HCI-14-00219,201920,JUL,12824
106,FGPL-HCI-13-00218,201920,JUL,12824
107,FGPL-GS-01-00114,201920,AUG,12756
108,FGPL-BAPB-03-00019,202021,NOV,12750
109,FGAS-VW382-01-00165,202122,JUN,12636
110,FGPL-HCI-15-00220,201920,MAY,12120
111,FGAS-VW382-01-00165,202021,FEB,12096
112,FGAS-VW251250-02-00057,201920,JUN,12096
113,FGAS-VW382-01-00165,202021,JAN,12096
114,FGAS-VW382-01-00165,202122,JUL,12096
115,FGAS-VW382-01-00165,202021,MAR,12096
116,FGAS-VW382-01-00165,202122,APR,12096
117,FGPL-GS-01-00114,201920,DEC,12060
118,FGAS-VWBR-01-00028,201920,SEP,12000
119,FGPL-VW270271-01-00203,202021,MAR,12000
120,FGPL-BA-05-00058,201920,SEP,11892
121,FGPL-HCI-01-00206,201920,AUG,11708
122,FGPL-BAPE-01-00160,201920,APR,11640
123,FGPL-BAPE-02-00161,201920,APR,11640
124,FGPL-BA-05-00058,201920,AUG,11560
125,FGPL-XBB-01-00235,201920,MAR,11540
126,FGPL-IB-01-00100,201920,FEB,11480
127,FGPL-HCI-15-00220,201920,DEC,11400
128,FGPL-GS-01-00114,201920,NOV,11364
129,FGPL-HCI-07-00212,201920,MAY,11352
130,FGPL-XBB-02-00236,201920,MAR,11348
131,FGPL-HCI-16-00221,201920,MAY,11280
132,FGPL-HCI-16-00221,201920,AUG,11280
133,FGPL-HCI-15-00220,201920,AUG,11280
134,FGPL-HCI-15-00220,201920,APR,11160
135,RMPMSCR0011,201920,APR,11110
136,FGPL-VW270271-01-00203,202021,OCT,11040
137,FGPL-HCI-16-00221,201920,DEC,11040
138,FGPL-HCI-15-00220,201920,JUN,11040
139,FGAS-VW271-01-00099,202021,MAY,11016
140,FGPL-VW250-07-00318,201920,SEP,11016
141,FGPL-HCI-16-00221,201920,JUN,10920
142,FGAS-660A-16-00087,202122,JUL,10920
143,FGPL-HCI-14-00219,201920,APR,10780
144,FGPL-HCI-09-00214,201920,MAY,10761
145,FGPL-XBB-02-00236,201920,NOV,10752
146,FGPL-XBB-01-00235,201920,NOV,10752
147,FGPL-BA-05-00058,202021,DEC,10748
148,FGPL-HCI-12-00217,201920,JUL,10712
149,FGPL-HCI-13-00218,201920,NOV,10696
150,FGPL-HCI-14-00219,201920,NOV,10696
151,FGAS-VW251250-02-00057,201920,APR,10684
152,FGPL-HCI-16-00221,201920,NOV,10670
153,FGPL-HCI-14-00219,201920,MAY,10638
154,FGPL-HCI-09-00214,201920,JUN,10636
155,FGPL-HCI-03-00208,201920,MAY,10570
