,SILN_PROD_ID,SIHD_INV_DATE
56,FGAS-660A-16-00087,585
403,FGPL-HCI-03-00208,570
414,FGPL-HCI-14-00219,550
413,FGPL-HCI-13-00218,538
295,FGPL-660A-04-00124,534
276,FGPL-650A-11-00150,511
282,FGPL-650A-17-00156,508
283,FGPL-650A-18-00157,487
362,FGPL-BAPE-05-00164,471
275,FGPL-650A-10-00149,458
402,FGPL-HCI-02-00207,458
285,FGPL-650A-20-00159,457
296,FGPL-660A-05-00125,451
280,FGPL-650A-15-00154,448
278,FGPL-650A-13-00152,446
277,FGPL-650A-12-00151,439
293,FGPL-660A-02-00122,430
279,FGPL-650A-14-00153,429
292,FGPL-660A-01-00121,429
281,FGPL-650A-16-00155,427
341,FGPL-B515-06-00230,411
297,FGPL-660A-06-00126,411
298,FGPL-660A-07-00127,410
387,FGPL-GS-07-00120,399
284,FGPL-650A-19-00158,371
286,FGPL-650A-21-00255,371
465,FGPL-RBC-07-00275,358
460,FGPL-RBC-02-00270,356
520,FGPL-XBB-01-00235,356
464,FGPL-RBC-06-00274,353
521,FGPL-XBB-02-00236,352
459,FGPL-RBC-01-00269,349
374,FGPL-BO2A-01-00051,349
476,FGPL-SK251-01-00233,344
340,FGPL-B515-05-00229,342
373,FGPL-BAPE-16-00175,329
337,FGPL-B515-02-00226,325
307,FGPL-660A-16-00136,322
148,FGAS-VW251-06-00048,320
462,FGPL-RBC-04-00272,318
339,FGPL-B515-04-00228,318
463,FGPL-RBC-05-00273,312
610,FGUP-B515-06-00097,311
135,FGAS-VW250-02-00063,310
401,FGPL-HCI-01-00206,308
138,FGAS-VW250-05-00066,307
139,FGAS-VW250-06-00067,307
579,FGUP-660A-03-00025,305
415,FGPL-HCI-15-00220,305
416,FGPL-HCI-16-00221,301
151,FGAS-VW251GP-01-00067,300
578,FGUP-660A-02-00024,295
492,FGPL-VW250-07-00318,294
150,FGAS-VW251250-02-00057,293
407,FGPL-HCI-07-00212,292
418,FGPL-IB-01-00100,290
577,FGUP-660A-01-00023,289
406,FGPL-HCI-06-00211,283
409,FGPL-HCI-09-00214,279
152,FGAS-VW251GP-02-00068,278
412,FGPL-HCI-12-00217,275
608,FGUP-B515-04-00095,270
461,FGPL-RBC-03-00271,267
408,FGPL-HCI-08-00213,264
224,FGPL-14SE-01-00107,262
386,FGPL-GS-01-00114,260
606,FGUP-B515-02-00093,260
353,FGPL-BA-05-00058,258
405,FGPL-HCI-05-00210,253
338,FGPL-B515-03-00227,249
404,FGPL-HCI-04-00209,245
308,FGPL-660A-17-00137,244
335,FGPL-B515-01-00225,237
396,FGPL-H79PH3-09-00195,235
342,FGPL-B515-07-00231,233
299,FGPL-660A-08-00128,232
306,FGPL-660A-15-00135,230
305,FGPL-660A-14-00134,227
300,FGPL-660A-09-00129,227
63,FGAS-BI3-01-00153,226
304,FGPL-660A-13-00133,225
303,FGPL-660A-12-00132,225
65,FGAS-BI3-03-00155,225
411,FGPL-HCI-11-00216,219
64,FGAS-BI3-02-00154,219
67,FGAS-BI3-05-00157,217
66,FGAS-BI3-04-00156,215
410,FGPL-HCI-10-00215,211
611,FGUP-B515-07-00098,204
302,FGPL-660A-11-00131,200
358,FGPL-BAPE-01-00160,196
57,FGAS-660A-17-00103,195
41,FGAS-660A-01-00072,195
42,FGAS-660A-02-00073,195
43,FGAS-660A-03-00074,195
44,FGAS-660A-04-00075,195
45,FGAS-660A-05-00076,195
58,FGAS-660A-18-00104,195
46,FGAS-660A-06-00077,195
301,FGPL-660A-10-00130,194
493,FGPL-VW250GP-01-00086,192
244,FGPL-328A-04-00032,190
496,FGPL-VW250GP-04-00089,190
239,FGPL-18TK-01-00241,190
497,FGPL-VW250GP-05-00090,189
31,FGAS-650A-01-00088,187
419,FGPL-IB-02-00101,186
359,FGPL-BAPE-02-00161,184
495,FGPL-VW250GP-03-00088,176
60,FGAS-800L-01-00095,175
564,FGUP-17TK-02-00031,171
563,FGUP-17TK-01-00030,170
47,FGAS-660A-07-00078,170
494,FGPL-VW250GP-02-00087,170
49,FGAS-660A-09-00080,170
48,FGAS-660A-08-00079,170
50,FGAS-660A-10-00081,170
607,FGUP-B515-03-00094,166
121,FGAS-SK251-02-00050,165
417,FGPL-I2FIN-01-00252,163
122,FGAS-SK251-03-00051,162
311,FGPL-665B-02-00350,159
609,FGUP-B515-05-00096,157
271,FGPL-650A-05-00144,156
235,FGPL-17TK-01-00237,156
312,FGPL-665B-03-00351,153
314,FGPL-665B-05-00353,153
238,FGPL-17TK-04-00240,153
236,FGPL-17TK-02-00238,152
270,FGPL-650A-04-00143,150
310,FGPL-665B-01-00349,148
313,FGPL-665B-04-00352,147
567,FGUP-17TK-05-00051,144
390,FGPL-H79PH3-03-00189,143
326,FGPL-800L-01-00041,143
391,FGPL-H79PH3-04-00190,141
392,FGPL-H79PH3-05-00191,141
309,FGPL-660A-17-00138,137
395,FGPL-H79PH3-08-00194,135
394,FGPL-H79PH3-07-00193,133
566,FGUP-17TK-04-00050,130
357,FGPL-BAPB-03-00019,129
59,FGAS-665B-01-00167,124
61,FGAS-800L-02-00096,124
565,FGUP-17TK-03-00049,123
294,FGPL-660A-03-00123,120
37,FGAS-650A-07-00094,119
36,FGAS-650A-06-00093,119
393,FGPL-H79PH3-06-00192,118
32,FGAS-650A-02-00089,118
33,FGAS-650A-03-00090,118
34,FGAS-650A-04-00091,118
35,FGAS-650A-05-00092,118
600,FGUP-665B-03-00155,114
598,FGUP-665B-01-00153,113
599,FGUP-665B-02-00154,112
237,FGPL-17TK-03-00239,111
160,FGAS-VW416-01-00137,110
524,FGPL-Y63Z-03-00065,110
534,FGPL-Y63Z-15-00077,107
554,FGPS-TG01PNI016-01-00013,106
527,FGPL-Y63Z-06-00068,103
523,FGPL-Y63Z-02-00064,103
420,FGPL-IB-03-00257,101
54,FGAS-660A-14-00085,98
377,FGPL-BY635-01-00243,98
51,FGAS-660A-11-00082,96
52,FGAS-660A-12-00083,96
53,FGAS-660A-13-00084,96
55,FGAS-660A-15-00086,96
79,FGAS-BY631-15-00015,96
78,FGAS-BY631-14-00014,95
123,FGAS-SK251-05-00053,95
528,FGPL-Y63Z-07-00069,95
75,FGAS-BY631-07-00007,94
74,FGAS-BY631-06-00006,94
576,FGUP-328A-01-00042,92
266,FGPL-650A-01-00139,92
375,FGPL-BY634-01-00242,92
516,FGPL-XBA-01-00178,92
267,FGPL-650A-01-00140,90
517,FGPL-XBA-02-00179,88
518,FGPL-XBA-03-00180,88
519,FGPL-XBA-04-00181,87
450,FGPL-PY1B-01-00336,87
117,FGAS-SK216-02-00161,86
118,FGAS-SK216-03-00162,86
70,FGAS-BY631-02-00002,86
71,FGAS-BY631-03-00003,86
451,FGPL-PY1B-02-00337,86
289,FGPL-655B-01-00003,86
453,FGPL-PY1B-04-00339,85
558,FGUP-14SE-01-00014,85
559,FGUP-14SE-02-00015,84
452,FGPL-PY1B-03-00338,84
529,FGPL-Y63Z-10-00072,83
133,FGAS-VW250-01-00058,83
69,FGAS-BY631-01-00001,82
455,FGPL-PY1B-06-00341,82
376,FGPL-BY634-02-00300,81
378,FGPL-BY636-02-00244,81
156,FGAS-VW271-01-00099,81
365,FGPL-BAPE-08-00167,80
147,FGAS-VW251-05-00047,80
454,FGPL-PY1B-05-00340,79
522,FGPL-Y63Z-01-00063,78
456,FGPL-PY1B-07-00342,77
80,FGAS-BY631-16-00016,77
76,FGAS-BY631-12-00012,77
273,FGPL-650A-07-00146,76
425,FGPL-ISUZU-02-00318,76
262,FGPL-645B-01-00332,76
77,FGAS-BY631-13-00013,76
360,FGPL-BAPE-03-00162,75
140,FGAS-VW250-07-00068,75
