SIHD_INV_DATE,QTY,prediction
3/31/2019,3654,4923
4/15/2019,4956,4654
4/30/2019,4872,4400
5/15/2019,5124,4160
5/31/2019,3948,3934
6/15/2019,3276,3723
6/30/2019,3570,3525
7/15/2019,4914,3340
7/31/2019,2436,3168
8/15/2019,2394,3009
8/31/2019,2772,2862
9/15/2019,2772,2727
9/30/2019,2100,2603
10/15/2019,2184,2491
10/31/2019,2604,2389
11/15/2019,2730,2299
11/30/2019,1764,2218
12/15/2019,2100,2147
12/31/2019,1344,2086
1/15/2020,2226,2035
1/31/2020,3696,1992
2/15/2020,2646,1957
2/29/2020,5292,1932
3/15/2020,1596,1914
3/31/2020,2856,1903
4/15/2020,4956,1900
4/30/2020,3234,1904
5/15/2020,630,1914
5/31/2020,1428,1931
6/15/2020,2058,1954
6/30/2020,2688,1982
7/15/2020,2226,2016
7/31/2020,2394,2055
8/15/2020,882,2098
8/31/2020,2646,2146
9/15/2020,2856,2197
9/30/2020,3192,2252
10/15/2020,3192,2311
10/31/2020,3906,2373
11/15/2020,2226,2437
11/30/2020,1848,2503
12/15/2020,2226,2572
12/31/2020,798,2642
1/15/2021,3444,2714
1/31/2021,4326,2786
2/15/2021,4284,2860
2/28/2021,3528,2933
3/15/2021,4242,3007
3/31/2021,3276,3080
4/15/2021,3234,3153
4/30/2021,882,3225
5/15/2021,966,3295
5/31/2021,1194,3364
6/15/2021,2310,3431
6/30/2021,5250,3495
7/15/2021,6258,3557
7/31/2021,,3616
8/15/2021,,3672
8/31/2021,,3724
9/15/2020,,3772
9/30/2021,,3816
10/15/2021,,3855
10/31/2021,,3890
11/15/2021,,3919
11/30/2021,,3942
