SIHD_INV_DATE,QTY
2019-03-31,3654
2019-04-15,4956
2019-04-30,4872
2019-05-15,5124
2019-05-31,3948
2019-06-15,3276
2019-06-30,3570
2019-07-15,4914
2019-07-31,2436
2019-08-15,2394
2019-08-31,2772
2019-09-15,2772
2019-09-30,2100
2019-10-15,2184
2019-10-31,2604
2019-11-15,2730
2019-11-30,1764
2019-12-15,2100
2019-12-31,1344
2020-01-15,2226
2020-01-31,3696
2020-02-15,2646
2020-02-29,5292
2020-03-15,1596
2020-03-31,0
2020-04-15,0
2020-04-30,0
2020-05-15,630
2020-05-31,1428
2020-06-15,2058
2020-06-30,2688
2020-07-15,2226
2020-07-31,2394
2020-08-15,882
2020-08-31,2646
2020-09-15,2856
2020-09-30,3192
2020-10-15,3192
2020-10-31,3906
2020-11-15,2226
2020-11-30,1848
2020-12-15,2226
2020-12-31,798
2021-01-15,3444
2021-01-31,4326
2021-02-15,4284
2021-02-28,3528
2021-03-15,4242
2021-03-31,3276
2021-04-15,3234
2021-04-30,0
2021-05-15,966
2021-05-31,1194
2021-06-15,2310
2021-06-30,5250
2021-07-15,6258
