SIHD_INV_DATE,QTY,NET,QTY2
4/7/2019,198,36912,276
4/14/2019,324,50334.5,396
4/21/2019,300,55927,420
4/28/2019,348,54062.83333,426
5/5/2019,330,61519.8,408
5/12/2019,360,55927.16667,390
5/19/2019,258,48097.4,378
5/26/2019,330,61519.8,450
6/2/2019,240,44742,312
6/9/2019,228,34888.5,270
6/16/2019,312,47742.33333,390
6/23/2019,264,40397.33333,342
6/30/2019,258,39479.16667,318
7/7/2019,342,52332.83333,414
7/14/2019,108,24789.5,300
7/21/2019,252,38561,300
7/28/2019,336,51820.83333,390
8/4/2019,156,35806.75,354
8/11/2019,180,41315.5,360
8/18/2019,126,38561,384
8/25/2019,240,44069.8,360
9/1/2019,102,31216.33333,396
9/8/2019,174,79876.5,402
9/15/2019,222,67941,456
9/22/2019,132,30298,342
9/29/2019,264,40397.16667,330
10/6/2019,174,39938.25,300
10/13/2019,126,38561,348
10/20/2019,168,38561,372
10/27/2019,102,23412.25,252
11/3/2019,114,52333,336
11/10/2019,156,35806.75,312
11/17/2019,210,32134.33333,294
11/24/2019,204,37459.4,270
12/1/2019,120,22034.8,234
12/8/2019,90,20657.5,240
12/15/2019,162,29747.2,306
12/22/2019,162,29747,282
12/29/2019,114,20933.2,264
1/5/2020,90,27543.66667,306
1/12/2020,48,22035,306
1/19/2020,186,34154,294
1/26/2020,150,34429.75,318
2/2/2020,180,41315.25,348
2/9/2020,228,34888.5,306
2/16/2020,210,38561.2,306
2/23/2020,180,41315.5,348
3/1/2020,234,42968,354
3/8/2020,360,47217.57143,360
3/15/2020,330,50496.83333,408
3/22/2020,228,41866.6,366
3/29/2020,0,,486
4/5/2020,0,,438
4/12/2020,0,,378
4/19/2020,0,,432
4/26/2020,0,,450
5/3/2020,0,,354
5/10/2020,0,,378
5/17/2020,0,,378
5/24/2020,0,,366
5/31/2020,90,41315.5,402
6/7/2020,90,20658,276
6/14/2020,114,20933,228
6/21/2020,114,26166.5,330
6/28/2020,144,22034.83333,216
7/5/2020,168,30848.8,258
7/12/2020,186,42692.5,336
7/19/2020,114,34888.66667,354
7/26/2020,138,31675.25,312
8/2/2020,162,29747.2,288
8/9/2020,168,30848.8,312
8/16/2020,144,26441.8,288
8/23/2020,114,26166.25,354
8/30/2020,12,11017,306
9/6/2020,168,30848.8,258
9/13/2020,156,35806.75,336
9/20/2020,192,35255.8,282
9/27/2020,234,35806.83333,264
10/4/2020,168,51414.33333,378
10/11/2020,204,31216.16667,246
10/18/2020,252,38561,318
10/25/2020,168,38561.25,288
11/1/2020,210,48201,390
11/8/2020,246,37642.5,318
11/15/2020,258,47375.2,378
11/22/2020,162,37184,330
11/29/2020,156,28645.4,270
12/6/2020,72,33052.5,306
12/13/2020,126,38561,414
12/20/2020,246,45171.6,330
12/27/2020,72,22035,378
1/3/2021,66,20198.33333,282
1/10/2021,96,22035,282
1/17/2021,18,16526,378
1/24/2021,228,41866.2,372
1/31/2021,264,48476.6,330
2/7/2021,312,47742.33333,396
2/14/2021,306,46824.16667,354
2/21/2021,330,50496.33333,378
2/28/2021,282,51782,402
3/7/2021,294,44987.83333,372
3/14/2021,210,32134.16667,240
3/21/2021,258,47374.8,384
3/28/2021,264,40397.33333,348
4/4/2021,210,48201.25,354
4/11/2021,282,51782,414
4/18/2021,240,55086.75,432
4/25/2021,264,48476.6,396
5/2/2021,18,16526,300
5/9/2021,0,,324
5/16/2021,0,,348
5/23/2021,0,,420
5/30/2021,138,63350,408
6/6/2021,0,,402
6/13/2021,171,78302.5,428.5714286
6/20/2021,120,110174,474
6/27/2021,120,36724.66667,360
7/4/2021,246,56464.5,420
7/11/2021,402,61514.16667,462
7/18/2021,396,72715,522
7/25/2021,390,59677.66667,432
8/1/2021,420,55087.2,420
