SIHD_INV_DATE,QTY,NET,QTY2
2019-04-07,1386,184560.0,2226
2019-04-14,2268,302007.0,2520
2019-04-21,2100,279635.0,3024
2019-04-28,2436,324377.0,2940
2019-05-05,2310,307599.0,3276
2019-05-12,2520,335563.0,2772
2019-05-19,1806,240487.0,2226
2019-05-26,2310,307599.0,3360
2019-06-02,1680,223710.0,2562
2019-06-09,1596,209331.0,1974
2019-06-16,2184,286454.0,2562
2019-06-23,1848,242384.0,2394
2019-06-30,1806,236875.0,2268
2019-07-07,2394,313997.0,2688
2019-07-14,756,99158.0,2100
2019-07-21,1764,231366.0,2142
2019-07-28,2352,310925.0,2814
2019-08-04,1092,143227.0,2058
2019-08-11,1260,165262.0,2142
2019-08-18,882,115683.0,2268
2019-08-25,1680,220349.0,2478
2019-09-01,714,93649.0,2436
2019-09-08,1218,159753.0,3402
2019-09-15,1554,203823.0,3234
2019-09-22,924,121192.0,2226
2019-09-29,1848,242383.0,2268
2019-10-06,1218,159753.0,2310
2019-10-13,882,115683.0,2730
2019-10-20,1176,154244.0,2184
2019-10-27,714,93649.0,2100
2019-11-03,798,104666.0,2940
2019-11-10,1092,143227.0,2016
2019-11-17,1470,192806.0,2016
2019-11-24,1428,187297.0,2226
2019-12-01,840,110174.0,1344
2019-12-08,630,82630.0,1764
2019-12-15,1134,148736.0,1974
2019-12-22,1134,148735.0,2100
2019-12-29,798,104666.0,1890
2020-01-05,630,82631.0,2310
2020-01-12,336,44070.0,2352
2020-01-19,1302,170770.0,2100
2020-01-26,1050,137719.0,2478
2020-02-02,1260,165261.0,2604
2020-02-09,1596,209331.0,1806
2020-02-16,1470,192806.0,2436
2020-02-23,1260,165262.0,2226
2020-03-01,1638,214840.0,2604
2020-03-08,2520,330523.0,2520
2020-03-15,2310,302981.0,2730
2020-03-22,1596,209333.0,2478
2020-03-29,0,0.0,2478
2020-04-05,0,0.0,3360
2020-04-12,0,0.0,2940
2020-04-19,0,0.0,3276
2020-04-26,0,0.0,2940
2020-05-03,0,0.0,2688
2020-05-10,0,0.0,2436
2020-05-17,0,0.0,2478
2020-05-24,0,0.0,2940
2020-05-31,630,82631.0,2352
2020-06-07,630,82632.0,1974
2020-06-14,798,104665.0,1512
2020-06-21,798,104666.0,2100
2020-06-28,1008,132209.0,1512
2020-07-05,1176,154244.0,2268
2020-07-12,1302,170770.0,2394
2020-07-19,798,104666.0,2394
2020-07-26,966,126701.0,2310
2020-08-02,1134,148736.0,1638
2020-08-09,1176,154244.0,1764
2020-08-16,1008,132209.0,1680
2020-08-23,798,104665.0,2058
2020-08-30,84,11017.0,2478
2020-09-06,1176,154244.0,1890
2020-09-13,1092,143227.0,2310
2020-09-20,1344,176279.0,1974
2020-09-27,1638,214841.0,1932
2020-10-04,1176,154243.0,3024
2020-10-11,1428,187297.0,1806
2020-10-18,1764,231366.0,2016
2020-10-25,1176,154245.0,2226
2020-11-01,1470,192804.0,2478
2020-11-08,1722,225855.0,2184
2020-11-15,1806,236876.0,2436
2020-11-22,1134,148736.0,2016
2020-11-29,1092,143227.0,2100
2020-12-06,504,66105.0,2394
2020-12-13,882,115683.0,2268
2020-12-20,1722,225858.0,2520
2020-12-27,504,66105.0,2436
2021-01-03,462,60595.0,1932
2021-01-10,672,88140.0,2058
2021-01-17,126,16526.0,2226
2021-01-24,1596,209331.0,2268
2021-01-31,1848,242383.0,2688
2021-02-07,2184,286454.0,2604
2021-02-14,2142,280945.0,2604
2021-02-21,2310,302978.0,2814
2021-02-28,1974,258910.0,2856
2021-03-07,2058,269927.0,2646
2021-03-14,1470,192805.0,1848
2021-03-21,1806,236874.0,2562
2021-03-28,1848,242384.0,2268
2021-04-04,1470,192805.0,2730
2021-04-11,1974,258910.0,2982
2021-04-18,1680,220347.0,3360
2021-04-25,1848,242383.0,2394
2021-05-02,126,16526.0,2730
2021-05-09,0,0.0,2142
2021-05-16,0,0.0,2940
2021-05-23,0,0.0,3192
2021-05-30,966,126700.0,3108
2021-06-06,0,0.0,2226
2021-06-13,1194,156605.0,3042
2021-06-20,840,110174.0,3360
2021-06-27,840,110174.0,2730
2021-07-04,1722,225858.0,3192
2021-07-11,2814,369085.0,3234
2021-07-18,2772,363575.0,3486
2021-07-25,2730,358066.0,3276
2021-08-01,2100,275436.0,2100
