SIHD_INV_DATE,QTY,NET,QTY2
4/7/2019,198,36912,276
4/14/2019,324,50334.5,396
4/21/2019,300,55927,420
4/28/2019,348,54062.83333,426
5/5/2019,330,61519.8,408
5/12/2019,360,55927.16667,390
5/19/2019,258,48097.4,378
5/26/2019,330,61519.8,450
6/2/2019,240,44742,312
6/9/2019,228,34888.5,270
6/16/2019,312,47742.33333,390
6/23/2019,264,40397.33333,342
6/30/2019,258,39479.16667,318
7/7/2019,342,52332.83333,414
7/14/2019,108,24789.5,300
7/21/2019,252,38561,300
7/28/2019,336,51820.83333,390
8/4/2019,156,35806.75,354
8/11/2019,180,41315.5,360
8/18/2019,126,38561,384
8/25/2019,240,44069.8,360
9/1/2019,102,31216.33333,396
9/8/2019,174,79876.5,402
9/15/2019,222,67941,456
9/22/2019,132,30298,342
9/29/2019,264,40397.16667,330
10/6/2019,174,39938.25,300
10/13/2019,126,38561,348
10/20/2019,168,38561,372
10/27/2019,102,23412.25,252
11/3/2019,114,52333,336
11/10/2019,156,35806.75,312
11/17/2019,210,32134.33333,294
11/24/2019,204,37459.4,270
12/1/2019,120,22034.8,234
12/8/2019,90,20657.5,240
12/15/2019,162,29747.2,306
12/22/2019,162,29747,282
12/29/2019,114,20933.2,264
1/5/2020,90,27543.66667,306
1/12/2020,48,22035,306
1/19/2020,186,34154,294
1/26/2020,150,34429.75,318
2/2/2020,180,41315.25,348
2/9/2020,228,34888.5,306
2/16/2020,210,38561.2,306
2/23/2020,180,41315.5,348
3/1/2020,234,42968,354
3/8/2020,360,47217.57143,360
3/15/2020,330,50496.83333,408
3/22/2020,228,41866.6,366
